id_hhx;id_persx;persx;berichtsjahr;alterx;ha3x;ha6x;ha81x;ha9x;he201;he20_kibetr1x;he20_kibetr2x;he211x;he212;he221x;he222;he23_sprachfx;he233x;he23_kunstx;he236x;he237x;he238x;he239;he2311x;pfb_ausgef;pa2x;pa3;pa4x;pb5x;pb6;pc7x;pc8;pc9;pc10x;pc11x;pc12x;pc13;pc15bx;pc16;pc171;pc172x;pc18x;pc19;pc20;pc21_fruehx;pc21_spaetx;pc22;pd231;pd232x;pd24x;pe25bx;pf26;pf27x;pf28x;pf29x;pf30;pg311;pg312;pg313;pg314;pg315;pg316;pg317;pg318;pg319;pg3110;pg3111;pg3112;pg3113;pg3114;pg3115;pg32;ph33a;ph33bx;ph34;ph35x;ph361a;ph361bx;ph362a;ph362bx;ph363a;ph363bx;ph364a;ph364bx;ph365a;ph365bx;ph366a;ph366bx;ph367a;ph367bx;ph368a;ph368bx;ph369a;ph369bx;ph3610a;ph3610bx;ph3611a;ph3611bx;ph3612a;ph3612bx;ph3613a;ph3613bx;ph3614a;ph3614bx;ph3615a;ph3615bx;pi37;pi381;pi382;pi383;pi384;pi385;pi386;pi387;pi388;pi389;pi3810;pi3811;pi3812;pi3813;pi3814;pi3815;pi3816;pi391;pi392;pi393;pi394;pi395;pi396;pi397;pi398;pi399;pi3910;pi3911;pi3912;pi401;pi402;pi403;pi404;pi405;pi406;pi411;pi412;pj42x;pj43x;pj44x;pj45;pj46;hrf_p80;hrf_k80;alter_gr1;alter_gr2;soz;erw_typ;erw_part;isced;bildung_typ;pf29_typ;migr
01263;01263_02;2;2022;49;2;2;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;3;-2;2;29;25;13;2;7324;2;1;40;50;2;2;-2;-2;4;1;1;-1;8;2;-2;7;13;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;8;3;9;3;2;1;2;2;9;1;2;1;2;1;2;2;2;2;1;1;4;3;4;2;2;2;2;2;5;2;2;2;1;2;1;3;4;1;1;2;2;-2;1106.1243606;;5;5;2;2;1;6;3;6;2
01263;01263_03;3;2022;17;2;3;1;1;;;;;;;;;;;;;;;;1;1;2;-2;6;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;6;1;-2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;4;9;9;9;3;3;3;9;9;9;9;2;2;3;3;2;3;3;1;1;1;4;5;2;4;4;1;1;3;2;1;2;1;2;1;6;8;1;1;3;2;-2;1589.7086164;;2;2;5;3;-2;2;1;1;2
01263;01263_04;4;2022;15;1;3;1;1;;;;;;;;;;;;;;;;1;1;2;-2;6;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;1;1;-2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;8;9;9;9;2;3;2;9;9;3;2;3;3;3;3;3;3;4;2;4;3;4;2;5;3;4;4;3;3;1;1;5;1;1;1;8;8;1;1;1;2;-2;1360.4660534;;2;2;-2;-2;-2;1;-2;1;2
01264;01264_01;1;2022;68;1;1;1;1;;;;;;;;;;;;;;;;1;5;2;-2;9;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;7;10;-2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;1;1;2;0;2;-2;2;-2;2;-2;1;2;1;1;2;-2;1;2;1;7;2;-2;2;-2;1;3;2;-2;2;-2;2;-2;2;-2;8;9;9;9;9;3;3;9;9;9;3;3;3;3;3;3;3;3;4;4;5;4;2;4;5;5;3;5;5;1;9;1;1;9;2;5;5;1;1;3;1;2;7455.8037318;;6;6;8;3;-2;6;3;5;2
01265;01265_01;1;2022;39;1;1;1;1;;;;;;;;;;;;;;;;1;1;2;-2;4;1;3;-2;1;42;42;14;2;8414;1;-2;-2;-2;3;2;-2;-2;4;2;-2;-2;10;2;-2;8;14;3;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;4;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;6;9;9;9;9;3;3;3;9;3;3;3;3;3;4;3;2;4;3;4;4;5;2;4;4;4;4;4;4;2;5;2;1;1;2;4;5;2;1;2;2;-2;3495.0714687;;4;4;2;1;-2;7;3;6;1
01266;01266_01;1;2022;37;2;1;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;1;1;2;33;37;13;2;8314;3;1;2;5;2;2;-2;-2;5;2;-2;-2;6;2;-2;8;14;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;7;3;9;1;3;2;2;3;9;2;1;2;1;2;3;2;2;2;2;2;3;1;5;2;3;3;2;2;5;1;1;1;1;5;1;4;5;1;1;3;2;-2;2443.6473535;;4;4;3;2;2;7;3;6;2
01266;01266_02;2;2022;35;1;2;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;1;1;2;30;35;14;2;7332;4;1;2;10;2;1;1;1;5;2;-2;-2;5;2;-2;6;4;-2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;5;3;9;2;9;2;2;3;9;9;3;2;2;2;9;3;3;2;3;2;5;3;5;2;3;4;2;4;3;2;1;2;1;9;1;4;5;1;1;2;2;-2;1626.6127486;;4;4;3;2;2;3;2;3;2
01266;01266_03;3;2022;6;2;3;1;1;2;-2;40;1;2;-2;1;-2;-2;-2;1;3;-2;2;-2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2562.5731203;1;-2;-2;-2;-2;-2;-2;-2;2
01266;01266_04;4;2022;0;2;3;1;1;2;-2;40;1;2;-2;1;-2;-2;-2;-2;3;-2;2;-2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2961.5189497;1;-2;-2;-2;-2;-2;-2;-2;2
01267;01267_01;1;2022;32;2;1;1;1;;;;;;;;;;;;;;;;1;2;2;-2;1;1;4;-2;1;35;25;3;2;2824;1;-2;-2;-2;3;2;-2;-2;3;2;-2;-2;9;2;-2;8;14;2;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;8;9;9;2;2;2;3;3;3;2;2;1;3;3;3;3;3;3;5;4;4;4;4;2;2;2;2;3;4;1;1;3;1;9;1;7;6;2;1;1;2;-2;5273.838404;;4;4;1;1;1;7;3;6;1
